tanggal_pemesanan,nomor_kontrak_retail,pelanggan,jenis,nama_proyek,product,area,nilai,status
2/11/2019,SO/UR/02-2019/11316,Plg 13487625,Perorangan,Pry rd780x9m,K-300 N,Bandung Barat,6737500,Approved
2/12/2019,SO/UR/02-2019/11317,Plg 14863572,Perorangan,Pry rx8d709m,K-400,Dadap,62947500,Approved
2/12/2019,SO/UR/02-2019/11318,Plg 14863725,PT,Pry rx8d79m0,K-300,Dawuan,6833750,Approved
2/12/2019,SO/UR/02-2019/11319,Plg 14652873,Perorangan,Pry rx0d879m,K-250,Kebon Jeruk,22044000,Approved
2/12/2019,SO/UR/02-2019/11320,Plg 14863752,PT,Pry rx8d790m,K-250,Pulo Gadung,8531875,Approved
2/12/2019,SO/UR/02-2019/11321,Plg 12645387,PT,Pry rdm90x78,K-300,Lenteng Agung,18026250,Approved
2/12/2019,SO/UR/02-2019/11322,Plg 14865237,PT,Pry rx8md097,K-500,Cibubur,42718500,Approved
2/12/2019,SO/UR/02-2019/11323,Plg 14865273,Perorangan,Pry rdm890x7,K-350,Delta Mas,6824125,Approved
2/12/2019,SO/UR/02-2019/11324,Plg 14865327,Perorangan,Pry rx8md079,K-250,Cikupa,18232500,Approved
2/12/2019,SO/UR/02-2019/11325,Plg 14865372,Perorangan,Pry rx8md907,K-300,Cikupa,12512500,Approved
2/12/2019,SO/UR/02-2019/11326,Plg 14857263,Perorangan,Pry rdmx0798,K-300,Lenteng Agung,2750000,Approved
2/12/2019,SO/UR/02-2019/11327,Plg 14786325,PT,Pry rx907d8m,K-175,Dadap,9350000,Approved
2/12/2019,SO/UR/02-2019/11328,Plg 14263587,PT,Pry rm7x9d08,K-300,Bandung Barat,62976375,Approved
2/12/2019,SO/UR/02-2019/11329,Plg 14865723,Perorangan,Pry rx8md970,K-250,Cibubur,5395500,Approved
2/12/2019,SO/UR/02-2019/11330,Plg 14865732,Perorangan,Pry rx8md709,K-300,Cakung,5278625,Approved
2/12/2019,SO/UR/02-2019/11331,Plg 14867235,Perorangan,Pry rx8md790,K-225,BSD,4881250,Approved
2/12/2019,SO/UR/02-2019/11332,Plg 14327856,Perorangan,Pry rd9mx087,K-250,Dadap,20398125,Approved
2/12/2019,SO/UR/02-2019/11333,Plg 14867253,Perorangan,Pry rx8m0d97,K-300,BSD,84273750,Approved
2/12/2019,SO/UR/02-2019/11334,Plg 14867325,CV,Pry rd07x8m9,K-125,Green Lake,3935250,Approved
2/12/2019,SO/UR/02-2019/11335,Plg 13428567,Perorangan,Pry rmd8709x,K-300,Delta Mas,41580000,Approved
2/12/2019,SO/UR/02-2019/11336,Plg 14867352,Perorangan,Pry rx8m0d79,K-300,Dawuan,31988000,Approved
2/12/2019,SO/UR/02-2019/11337,Plg 14867523,Perorangan,Pry rx8m09d7,K-250,BSD,10285000,Approved
2/12/2019,SO/UR/02-2019/11338,Plg 12376854,PT,Pry rdm0987x,K-250,Pulo Gadung,6506500,Approved
2/12/2019,SO/UR/02-2019/11340,Plg 14867532,Perorangan,Pry rx8m097d,K-250,Bandung Barat,9900000,Approved
2/12/2019,SO/UR/02-2019/11341,Plg 14825763,Perorangan,Pry rx98m07d,K-350 N,Kebon Jeruk,18735750,Approved
2/12/2019,SO/UR/02-2019/11342,Plg 12864357,Perorangan,Pry rdm90x78,K-350,Sentul,89925000,Approved
2/12/2019,SO/UR/02-2019/11344,Plg 14872356,Perorangan,Pry rx8m07d9,K-225,Bandung Timur,37768500,Approved
2/12/2019,SO/UR/02-2019/11345,Plg 14872365,Perorangan,Pry rx8m079d,K-300,Dawuan,9033750,Approved
2/12/2019,SO/UR/02-2019/11346,Plg 14872536,Perorangan,Pry rx8d0m79,K-250,Cibitung,9212500,Approved
2/12/2019,SO/UR/02-2019/11348,Plg 14872563,Perorangan,Pry rx8m9d07,K-225,Pulo Gadung,8373750,Approved
2/12/2019,SO/UR/02-2019/11349,Plg 13528746,PT,Pry rmxd8907,K-225,Bandung Barat,6833750,Approved
2/12/2019,SO/UR/02-2019/11350,Plg 14627385,Perorangan,Pry rxm7d980,K-300,Pulo Gadung,15918375,Approved
2/12/2019,SO/UR/02-2019/11351,Plg 13528746,PT,Pry rmxd8907,K-225,Bandung Barat,11715000,Approved
2/12/2019,SO/UR/02-2019/11352,Plg 14872635,Perorangan,Pry rm8x079d,K-250,Mauk,6564250,Approved
2/12/2019,SO/UR/02-2019/11354,Plg 14823765,PT,Pry rx98d70m,K-350,Cakung,28909375,Approved
2/12/2019,SO/UR/02-2019/11355,Plg 13856724,PT,Pry rm80xd97,K-300,Kebon Jeruk,9625000,Approved
2/12/2019,SO/UR/02-2019/11356,Plg 14768325,PT,Pry rx9m78d0,K-450,Cilacap,14081375,Approved
2/12/2019,SO/UR/02-2019/11357,Plg 14287563,PT,Pry rm798xd0,K-300,Dawuan,7122500,Approved
2/12/2019,SO/UR/02-2019/11358,Plg 14863275,Perorangan,Pry rx8d97m0,K-250 N,Dadap,2015750,Approved
2/12/2019,SO/UR/02-2019/11359,Plg 12357846,PT,Pry rx8d7m09,K-250,Lenteng Agung,1724250,Approved
2/12/2019,SO/UR/02-2019/11360,Plg 14872653,Perorangan,Pry rx8m9d70,K-225,Tambak Sumur,15400000,Approved
2/12/2019,SO/UR/02-2019/11361,Plg 14386572,Perorangan,Pry rxd8907m,K-300,Cakung,25987500,Approved
2/12/2019,SO/UR/02-2019/11362,Plg 14327856,Perorangan,Pry rd9mx087,K-250,Dadap,3547500,Approved
2/12/2019,SO/UR/02-2019/11363,Plg 14873256,Perorangan,Pry rx8m90d7,K-300,Kebon Jeruk,15823500,Approved
2/12/2019,SO/UR/02-2019/11364,Plg 12357846,PT,Pry rx8d7m09,K-250,Lenteng Agung,862125,Approved
2/12/2019,SO/UR/02-2019/11365,Plg 13754862,PT,Pry rx978md0,K-300,Palimanan,14784000,Approved
2/12/2019,SO/UR/02-2019/11366,Plg 14873265,Perorangan,Pry rx8m907d,K-300 N,Palimanan,28490000,Approved
2/12/2019,SO/UR/02-2019/11367,Plg 13825674,Perorangan,Pry rm8dx907,K-175,Cilacap,13032250,Approved
2/12/2019,SO/UR/02-2019/11368,Plg 14736528,Perorangan,Pry rmx89d70,"K-650 N,Class P-1 N",Palimanan,4496250,Approved
2/12/2019,SO/UR/02-2019/11369,Plg 13576284,PT,Pry rmx8d097,K-350,Dawuan,6930000,Approved
2/12/2019,SO/UR/02-2019/11370,Plg 14532876,Perorangan,Pry rx8m97d0,K-300 N,Tanah Abang,24062500,Approved
2/12/2019,SO/UR/02-2019/11371,Plg 12538647,Perorangan,Pry rdx89m70,K-300,BSD,43716750,Approved
2/12/2019,SO/UR/02-2019/11372,Plg 14873526,Perorangan,Pry rdx90m87,K-300,Kebon Jeruk,12441000,Approved
2/12/2019,SO/UR/02-2019/11373,Plg 14873562,Perorangan,Pry rx8m970d,K-250,Cibitung,10285000,Approved
2/12/2019,SO/UR/02-2019/11374,Plg 12546837,CV,Pry rx8m7d09,K-225,Cibubur,10048500,Approved
2/12/2019,SO/UR/02-2019/11375,Plg 14873625,Perorangan,Pry rdmx0987,K-300 N,Bandung Timur,37537500,Approved
2/12/2019,SO/UR/02-2019/11377,Plg 14537268,PT,Pry rxmd9708,K-300,Cilacap,10051250,Approved
2/12/2019,SO/UR/02-2019/11378,Plg 14873652,Perorangan,Pry rx8m7d90,K-300,Kebon Jeruk,22991375,Approved
2/12/2019,SO/UR/02-2019/11379,Plg 13487625,Perorangan,Pry rd780x9m,K-300 N,Bandung Barat,25093750,Approved
2/12/2019,SO/UR/02-2019/11380,Plg 13487625,Perorangan,Pry rd780x9m,K-300 N,Bandung Barat,5018750,Approved
2/12/2019,SO/UR/02-2019/11381,Plg 12357846,PT,Pry rx8m70d9,K-250,Lenteng Agung,10345500,Approved
2/12/2019,SO/UR/02-2019/11382,Plg 12483756,Perorangan,Pry rdmx0798,K-250,Casablanca,30574500,Approved
2/12/2019,SO/UR/02-2019/11383,Plg 14875236,Perorangan,Pry rdmx0798,K-250,Cibubur,6256250,Approved
2/13/2019,SO/UR/02-2019/11384,Plg 14875263,Perorangan,Pry rx8m709d,K-250,Cibitung,6641250,Approved
2/13/2019,SO/UR/02-2019/11385,Plg 14865723,Perorangan,Pry rx8md970,K-250,Cibubur,2248125,Approved
2/13/2019,SO/UR/02-2019/11386,Plg 13842657,PT,Pry rm8d70x9,K-350 N,Bandung Timur,10793750,Approved
2/13/2019,SO/UR/02-2019/11387,Plg 14875326,Perorangan,Pry rx8m79d0,K-225,Dawuan,3657500,Approved
2/13/2019,SO/UR/02-2019/11389,Plg 14875362,Perorangan,Pry rm08xd79,K-300,Sentul,24200000,Approved
2/13/2019,SO/UR/02-2019/11390,Plg 14537268,PT,Pry rxmd9708,K-300,Cilacap,2010250,Approved
2/13/2019,SO/UR/02-2019/11391,Plg 14782635,Perorangan,Pry rx90d87m,K-300 N,Lenteng Agung,4031500,Approved
2/13/2019,SO/UR/02-2019/11392,Plg 12543867,PT,Pry rx8d9m70,K-300,BSD,98868000,Approved
2/13/2019,SO/UR/02-2019/11393,Plg 14875623,Perorangan,Pry rx8m790d,K-225,Cibitung,19635000,Approved
2/13/2019,SO/UR/02-2019/11394,Plg 14852376,PT,Pry rx970m8d,K-175,Cibitung,12705000,Approved
2/13/2019,SO/UR/02-2019/11395,Plg 12586734,Perorangan,Pry rx80dm97,K-250,Lenteng Agung,12746250,Approved
2/13/2019,SO/UR/02-2019/11396,Plg 14875632,Perorangan,Pry rx80dm79,K-225,Pulo Gadung,24613875,Approved
2/13/2019,SO/UR/02-2019/11397,Plg 14586273,Perorangan,Pry rxm8d907,K-300,Sentul,6479688,Approved
2/13/2019,SO/UR/02-2019/11398,Plg 13428567,Perorangan,Pry rmd8709x,K-300,Delta Mas,9240000,Approved
2/13/2019,SO/UR/02-2019/11399,Plg 14378256,PT,Pry rxd9870m,K-300 N,Cakung,48125000,Approved
2/13/2019,SO/UR/02-2019/11400,Plg 14876235,Perorangan,Pry rx80d9m7,K-300,Taman Anggrek II,6833750,Approved
2/13/2019,SO/UR/02-2019/11401,Plg 12674358,Perorangan,Pry rd078xm9,K-350,Dadap,100512500,Approved
2/13/2019,SO/UR/02-2019/11402,Plg 12865473,Perorangan,Pry rd7mx980,K-300,Cibubur,6545000,Approved
2/13/2019,SO/UR/02-2019/11403,Plg 14526783,Perorangan,Pry rxd708m9,K-250,Dawuan,35112000,Approved
2/13/2019,SO/UR/02-2019/11404,Plg 14876253,Perorangan,Pry rx80d97m,K-225,Tambak Sumur,15193750,Approved
2/13/2019,SO/UR/02-2019/11405,Plg 12368754,PT,Pry rdm98x70,K-350,Cakung,19305000,Approved
2/13/2019,SO/UR/02-2019/11406,Plg 14876325,Perorangan,Pry rd8m709x,K-300,Dawuan,47643750,Approved
2/13/2019,SO/UR/02-2019/11408,Plg 14682753,Perorangan,Pry rx098md7,K-350,Bandung Timur,22584375,Approved
2/13/2019,SO/UR/02-2019/11409,Plg 12864357,Perorangan,Pry rdm90x78,K-350,Sentul,89925000,Approved
2/13/2019,SO/UR/02-2019/11410,Plg 14867325,CV,Pry rd07x8m9,K-125,Green Lake,3935250,Approved
2/13/2019,SO/UR/02-2019/11411,Plg 13746528,PT,Pry rm9x087d,K-300 N,Palimanan,8140000,Approved
2/13/2019,SO/UR/02-2019/11412,Plg 14762853,Perorangan,Pry rx9md780,K-375,Sentul,20982500,Approved
2/13/2019,SO/UR/02-2019/11413,Plg 12874356,Perorangan,Pry rd7m90x8,K-300 N,Sentul,7238000,Approved
2/13/2019,SO/UR/02-2019/11414,Plg 12546837,CV,Pry rx80d7m9,K-250,Cibubur,16995000,Approved
2/13/2019,SO/UR/02-2019/11415,Plg 14876352,PT,Pry rx80d79m,K-225,Sentul,11529375,Approved
2/13/2019,SO/UR/02-2019/11416,Plg 12543867,PT,Pry rx8d9m70,K-300,BSD,4620000,Approved
2/13/2019,SO/UR/02-2019/11417,Plg 14876523,Perorangan,Pry rx80md97,K-225,Bandung Timur,7643625,Approved
2/13/2019,SO/UR/02-2019/11418,Plg 14876532,Perorangan,Pry rx80md79,K-300,Tambak Sumur,3455375,Approved
2/13/2019,SO/UR/02-2019/11419,Plg 12345678,Perorangan,Pry rdmx0987,K-275,Bandung Timur,70475625,Approved
2/13/2019,SO/UR/02-2019/11420,Plg 15234678,Perorangan,Pry rx80m9d7,K-250,Cibubur,17085750,Approved
2/13/2019,SO/UR/02-2019/11421,Plg 13725846,PT,Pry rm9d0x78,K-450 N,Palimanan,20146500,Approved
2/13/2019,SO/UR/02-2019/11423,Plg 13284756,PT,Pry rx80m97d,K-300 N,Taman Anggrek II,5369375,Approved
2/13/2019,SO/UR/02-2019/11426,Plg 12673584,Perorangan,Pry rx80m7d9,K-250,Tanah Abang,16854750,Approved
2/13/2019,SO/UR/02-2019/11428,Plg 15234687,Perorangan,Pry rx80m79d,K-300,BSD,11068750,Approved
2/13/2019,SO/UR/02-2019/11429,Plg 12538647,Perorangan,Pry rdx89m70,K-300,BSD,3745500,Approved
2/13/2019,SO/UR/02-2019/11430,Plg 13548762,PT,Pry rm8d970x,K-400,BSD,30937500,Approved
2/13/2019,SO/UR/02-2019/11431,Plg 13428567,Perorangan,Pry rmd8709x,K-300,Delta Mas,4620000,Approved
2/13/2019,SO/UR/02-2019/11432,Plg 13684725,PT,Pry rm07d9x8,K-250 N,Kertajati Cirebon,49500000,Approved
2/13/2019,SO/UR/02-2019/11433,Plg 14825637,Perorangan,Pry rx98md70,K-100,Cilacap,2475000,Approved
2/13/2019,SO/UR/02-2019/11434,Plg 13845726,Perorangan,Pry rm8x0d79,K-225 N,Bandung Barat,26606250,Approved
2/13/2019,SO/UR/02-2019/11436,Plg 13467582,PT,Pry rmd809x7,K-250 N,Cibitung,10890000,Approved
2/13/2019,SO/UR/02-2019/11437,Plg 13845627,Perorangan,Pry rm8xd790,K-375,BSD,32725000,Approved
2/13/2019,SO/UR/02-2019/11438,Plg 14735628,Perorangan,Pry rx079m8d,K-250,Delta Mas,2697750,Approved
2/13/2019,SO/UR/02-2019/11439,Plg 12346785,Perorangan,Pry rdmx9870,K-300,Cakung,2406250,Approved
2/13/2019,SO/UR/02-2019/11441,Plg 15234768,Perorangan,Pry rx809dm7,K-300,Tanah Abang,5266250,Approved
2/13/2019,SO/UR/02-2019/11442,Plg 15234786,PT,Pry rx809d7m,K-300 N,Kebon Jeruk,6748500,Approved
2/13/2019,SO/UR/02-2019/11443,Plg 14827653,PT,Pry rx987m0d,"K-250 N,Fc-20 ,Fc-20 N",Tanah Abang,9061250,Approved
2/13/2019,SO/UR/02-2019/11444,Plg 15234867,Perorangan,Pry rx809md7,K-300,Cikupa,132825000,Approved
2/13/2019,SO/UR/02-2019/11445,Plg 14537268,PT,Pry rxmd9708,K-300,Cilacap,24123000,Approved
2/13/2019,SO/UR/02-2019/11446,Plg 14752638,Perorangan,Pry rmxd8970,K-300 N,Bandung Timur,4950000,Approved
2/13/2019,SO/UR/02-2019/11447,Plg 15234876,Perorangan,Pry rx809m7d,K-300,Tambak Sumur,6689375,Approved
2/13/2019,SO/UR/02-2019/11449,Plg 15236478,Perorangan,Pry rx8097dm,K-225,Lenteng Agung,3823875,Approved
2/13/2019,SO/UR/02-2019/11450,Plg 13527468,PT,Pry rmxd0789,K-250,Bandung Barat,53295000,Approved
2/13/2019,SO/UR/02-2019/11451,Plg 13542678,Perorangan,Pry rmxd8709,K-225,Bandung Barat,5225000,Approved
2/13/2019,SO/UR/02-2019/11452,Plg 15236487,Perorangan,Pry rx8097md,K-250 N,Bandung Barat,9961875,Approved
2/13/2019,SO/UR/02-2019/11453,Plg 13425867,PT,Pry rmd0897x,K-375,Cibitung,36093750,Approved
2/13/2019,SO/UR/02-2019/11454,Plg 13874562,Perorangan,Pry rx8d7m90,K-225 N,Bandung Barat,5369375,Approved
2/14/2019,SO/UR/02-2019/11455,Plg 15236748,Perorangan,Pry rx807dm9,K-300,Dadap,57750000,Approved
2/14/2019,SO/UR/02-2019/11456,Plg 12873546,Perorangan,Pry rd8709mx,K-300,Sentul,6930000,Approved
2/14/2019,SO/UR/02-2019/11457,Plg 14235867,PT,Pry rm8709dx,K-300,Tambak Sumur,23397000,Approved
2/14/2019,SO/UR/02-2019/11458,Plg 15236784,Perorangan,Pry rx807d9m,K-350,BSD,18810000,Approved
2/14/2019,SO/UR/02-2019/11461,Plg 12645873,PT,Pry rx807md9,K-225,Taman Anggrek II,10300125,Approved
2/14/2019,SO/UR/02-2019/11462,Plg 13725846,PT,Pry rm9d0x78,K-450 N,Palimanan,3357750,Approved
2/14/2019,SO/UR/02-2019/11463,Plg 15236847,Perorangan,Pry rx807m9d,K-250,Tambak Sumur,17094000,Approved
2/14/2019,SO/UR/02-2019/11464,Plg 15236874,PT,Pry rx8079dm,K-250,Cibubur,11236500,Approved
2/14/2019,SO/UR/02-2019/11465,Plg 15237468,Perorangan,Pry rx8079md,K-250,Pulo Gadung,6737500,Approved
2/14/2019,SO/UR/02-2019/11466,Plg 15237486,Perorangan,Pry rx89dm07,K-250,Tanah Abang,13798125,Approved
2/14/2019,SO/UR/02-2019/11467,Plg 15237648,Perorangan,Pry rx89dm70,K-350,Cibitung,40150000,Approved
2/14/2019,SO/UR/02-2019/11468,Plg 12458736,PT,Pry rx89d0m7,K-250,Casablanca,31425625,Approved
2/14/2019,SO/UR/02-2019/11469,Plg 13765428,Perorangan,Pry rm9807dx,K-225,Tambak Sumur,16981250,Approved
2/14/2019,SO/UR/02-2019/11470,Plg 15237684,CV,Pry rx89d07m,K-250,Dawuan,4647500,Approved
2/14/2019,SO/UR/02-2019/11472,Plg 15237846,Perorangan,Pry rx89d7m0,K-300,Kebon Jeruk,137637500,Approved
2/14/2019,SO/UR/02-2019/11473,Plg 15237864,Perorangan,Pry rx89d70m,K-300,Cikupa,23100000,Approved
2/14/2019,SO/UR/02-2019/11474,Plg 15238467,PT,Pry rx89md07,K-500,Delta Mas,7844375,Approved
2/14/2019,SO/UR/02-2019/11475,Plg 15238476,Perorangan,Pry rx89md70,K-350,Bandung Timur,186120000,Approved
2/14/2019,SO/UR/02-2019/11476,Plg 14276358,CV,Pry rm708d9x,K-300,Cibubur,7257250,Approved
2/14/2019,SO/UR/02-2019/11477,Plg 14873265,Perorangan,Pry rx8m907d,K-250 N,Palimanan,9762500,Approved
2/14/2019,SO/UR/02-2019/11478,Plg 12784563,Perorangan,Pry rx89m0d7,K-350,Cikupa,58575000,Approved
2/14/2019,SO/UR/02-2019/11479,Plg 12784563,Perorangan,Pry rx89m07d,K-350,Cikupa,87862500,Approved
2/14/2019,SO/UR/02-2019/11480,Plg 15238647,Perorangan,Pry rx89m7d0,K-300,Taman Anggrek II,12100000,Approved
2/14/2019,SO/UR/02-2019/11481,Plg 14837625,CV,Pry rx970dm8,K-250,Dawuan,9745313,Approved
2/14/2019,SO/UR/02-2019/11482,Plg 12864357,Perorangan,Pry rdm90x78,K-350,Sentul,44962500,Approved
2/14/2019,SO/UR/02-2019/11484,Plg 15238674,Perorangan,Pry rdmx0798,K-250,Sentul,10300125,Approved
2/14/2019,SO/UR/02-2019/11486,Plg 14823576,Perorangan,Pry rd0m879x,K-350,Lenteng Agung,250937500,Approved
2/14/2019,SO/UR/02-2019/11488,Plg 13684257,PT,Pry rm0879dx,K-300 N,Palimanan,49087500,Approved
2/14/2019,SO/UR/02-2019/11489,Plg 14567328,Perorangan,Pry rxm890d7,K-250,Kebon Jeruk,20055750,Approved
2/14/2019,SO/UR/02-2019/11490,Plg 13624857,PT,Pry rmx7d890,K-225,Bandung Timur,181500000,Approved
2/14/2019,SO/UR/02-2019/11492,Plg 12846735,Perorangan,Pry rd89m7x0,K-250,Cikupa,3685000,Approved
2/14/2019,SO/UR/02-2019/11493,Plg 15238746,Perorangan,Pry rx89m70d,K-225 N,Bandung Barat,12416250,Approved
2/14/2019,SO/UR/02-2019/11495,Plg 15238764,Perorangan,Pry rx890dm7,K-350,Pulo Gadung,7997000,Approved
2/14/2019,SO/UR/02-2019/11496,Plg 15243678,Perorangan,Pry rx890d7m,K-275 N,Cibitung,24406250,Approved
2/14/2019,SO/UR/02-2019/11497,Plg 15243687,Perorangan,Pry rx890md7,K-250,Taman Anggrek II,22770000,Approved
2/14/2019,SO/UR/02-2019/11498,Plg 12785634,PT,Pry rd8xm709,K-300,Cikupa,6833750,Approved
2/14/2019,SO/UR/02-2019/11499,Plg 14328675,Perorangan,Pry rm789x0d,K-250 N,Tanah Abang,52360000,Approved
2/14/2019,SO/UR/02-2019/11500,Plg 14732856,PT,Pry rx07m89d,K-250,BSD,5142500,Approved
2/14/2019,SO/UR/02-2019/11501,Plg 13528746,PT,Pry rmxd8907,K-225,Bandung Barat,6833750,Approved
2/14/2019,SO/UR/02-2019/11502,Plg 15243768,Perorangan,Pry rx890m7d,K-200,BSD,3935250,Approved
2/14/2019,SO/UR/02-2019/11503,Plg 12687354,Perorangan,Pry rd907mx8,K-225,Dadap,19239000,Approved
2/14/2019,SO/UR/02-2019/11504,Plg 15243786,Perorangan,Pry rx8907dm,K-300,Tambak Sumur,16854750,Approved
2/14/2019,SO/UR/02-2019/11505,Plg 15243867,Perorangan,Pry rx8907md,K-250,Dadap,22687500,Approved
2/14/2019,SO/UR/02-2019/11506,Plg 13528764,Perorangan,Pry rmxd8970,K-250,Bandung Timur,89925000,Approved
2/14/2019,SO/UR/02-2019/11507,Plg 12347865,PT,Pry rx897dm0,K-300,Delta Mas,13860000,Approved
2/14/2019,SO/UR/02-2019/11508,Plg 12546837,CV,Pry rx897d0m,K-300,Lenteng Agung,9182250,Approved
2/14/2019,SO/UR/02-2019/11509,Plg 15243876,PT,Pry rx897md0,K-350,Taman Anggrek II,8089813,Approved
2/14/2019,SO/UR/02-2019/11510,Plg 12874536,Perorangan,Pry rd7m98x0,K-300,Sentul,6737500,Approved
2/14/2019,SO/UR/02-2019/11511,Plg 15246378,PT,Pry rx897m0d,K-300,Dadap,33206250,Approved
2/14/2019,SO/UR/02-2019/11512,Plg 14756382,PT,Pry rx9d870m,K-300,Taman Anggrek II,25616250,Approved
2/14/2019,SO/UR/02-2019/11513,Plg 14856273,Perorangan,Pry rx8dm079,K-225,Dawuan,5692500,Approved
2/14/2019,SO/UR/02-2019/11514,Plg 14572368,Perorangan,Pry rxm0897d,K-250,Tanah Abang,24465375,Approved
2/14/2019,SO/UR/02-2019/11515,Plg 15246387,PT,Pry rx8970dm,K-300 N,Cakung,8095313,Approved
2/14/2019,SO/UR/02-2019/11516,Plg 12865374,Perorangan,Pry rx8970md,K-225,Cibubur,6737500,Approved
2/14/2019,SO/UR/02-2019/11517,Plg 14876532,Perorangan,Pry rx80md79,K-300,Tambak Sumur,493625,Approved
2/14/2019,SO/UR/02-2019/11518,Plg 14827356,PT,Pry rx987dm0,"K-125 N,Class E-1 N",Dawuan,19511250,Approved
2/15/2019,SO/UR/02-2019/11519,Plg 15246738,Perorangan,Pry rd07m98x,K-250,Dawuan,69877500,Approved
2/15/2019,SO/UR/02-2019/11520,Plg 15246783,Perorangan,Pry rx87dm09,K-225,Dawuan,6795938,Approved
2/15/2019,SO/UR/02-2019/11521,Plg 13824576,Perorangan,Pry rm978xd0,K-350,Sentul,3971000,Approved
2/15/2019,SO/UR/02-2019/11522,Plg 14867325,CV,Pry rd07x8m9,K-125,Green Lake,3935250,Approved
2/15/2019,SO/UR/02-2019/11524,Plg 15246837,Perorangan,Pry rdmx0798,K-250,Cakung,9572063,Approved
2/15/2019,SO/UR/02-2019/11526,Plg 14823756,Perorangan,Pry rmx90d87,K-225,Sentul,9061250,Approved
2/15/2019,SO/UR/02-2019/11527,Plg 15246873,Perorangan,Pry rx87dm90,K-225,Bandung Timur,6294750,Approved
2/15/2019,SO/UR/02-2019/11528,Plg 14723568,Perorangan,Pry rx08md79,K-300,Cilacap,12441000,Approved
2/15/2019,SO/UR/02-2019/11529,Plg 14365278,Perorangan,Pry rxd0978m,K-300,Tanah Abang,31240000,Approved
2/15/2019,SO/UR/02-2019/11530,Plg 12865473,Perorangan,Pry rd7mx980,K-300,Cibubur,5610000,Approved
2/15/2019,SO/UR/02-2019/11531,Plg 14283675,PT,Pry rm79xd80,K-300 N,Pulo Gadung,8773875,Approved
2/15/2019,SO/UR/02-2019/11532,Plg 13527486,Perorangan,Pry rmxd9087,K-300,Bandung Timur,37400000,Approved
2/15/2019,SO/UR/02-2019/11534,Plg 14827365,Perorangan,Pry rx987d0m,K-300,Bandung Timur,12673375,Approved
2/15/2019,SO/UR/02-2019/11537,Plg 14768523,Perorangan,Pry rx9m780d,K-350,Cikupa,3905000,Approved
2/15/2019,SO/UR/02-2019/11538,Plg 13824576,Perorangan,Pry rm978xd0,K-350,Sentul,3971000,Approved
2/15/2019,SO/UR/02-2019/11539,Plg 15247368,Perorangan,Pry rm08xd79,K-275,Bandung Barat,23397000,Approved
2/15/2019,SO/UR/02-2019/11540,Plg 15247386,Perorangan,Pry rx87d0m9,K-250,Casablanca,13674375,Approved
2/15/2019,SO/UR/02-2019/11542,Plg 14278365,PT,Pry rm79dx80,K-225,BSD,3935250,Approved
2/15/2019,SO/UR/02-2019/11543,Plg 13287654,PT,Pry rmd097x8,K-250,Bekasi,21780000,Approved
2/15/2019,SO/UR/02-2019/11544,Plg 14862735,Perorangan,Pry rxmd8790,K-350,Taman Anggrek II,7218750,Approved
2/15/2019,SO/UR/02-2019/11545,Plg 15247638,Perorangan,Pry rdm8907x,K-250,Cikupa,42079813,Approved
2/15/2019,SO/UR/02-2019/11547,Plg 13765824,PT,Pry rx87d09m,K-100,Cakung,6034875,Approved
2/15/2019,SO/UR/02-2019/11548,Plg 12674358,Perorangan,Pry rd078xm9,K-350,Dadap,100512500,Approved
2/15/2019,SO/UR/02-2019/11549,Plg 13854267,PT,Pry rd780x9m,K-350,Cikupa,40150000,Approved
2/15/2019,SO/UR/02-2019/11550,Plg 12468753,Perorangan,Pry rdmx0798,K-300,Tanah Abang,10511875,Approved
2/15/2019,SO/UR/02-2019/11551,Plg 13765824,PT,Pry rx87d09m,K-350,Cakung,31592000,Approved
2/15/2019,SO/UR/02-2019/11552,Plg 14236587,PT,Pry rm897d0x,K-350,Dadap,18562500,Approved
2/15/2019,SO/UR/02-2019/11554,Plg 15247683,Perorangan,Pry rx87d9m0,K-250,Cibitung,10285000,Approved
2/15/2019,SO/UR/02-2019/11557,Plg 12645387,PT,Pry rx87d90m,K-300,Sentul,42693750,Approved
2/15/2019,SO/UR/02-2019/11559,Plg 13284765,CV,Pry rm0897xd,K-350 N,Dawuan,48576000,Approved
2/15/2019,SO/UR/02-2019/11561,Plg 12546837,CV,Pry rx87md09,K-250,Green Lake,24642750,Approved
2/15/2019,SO/UR/02-2019/11564,Plg 15247836,CV,Pry rdx870m9,K-225,Cakung,4434375,Approved
2/15/2019,SO/UR/02-2019/11567,Plg 13567284,Perorangan,Pry rmx9d087,K-300,Bandung Barat,117150000,Approved
2/15/2019,SO/UR/02-2019/11568,Plg 14827356,PT,Pry rx987dm0,"K-125 N,Class E-1 N",Dawuan,3547500,Approved
2/15/2019,SO/UR/02-2019/11570,Plg 14835672,PT,Pry rx97d8m0,K-300,Bekasi,20790000,Approved
2/15/2019,SO/UR/02-2019/11573,Plg 15247863,PT,Pry rx87md90,K-225,BSD,14740000,Approved
2/15/2019,SO/UR/02-2019/11574,Plg 15248367,Perorangan,Pry rdmx0798,K-250,Cakung,11236500,Approved
2/15/2019,SO/UR/02-2019/11575,Plg 13425867,PT,Pry rmd0897x,K-375,Cibitung,36093750,Approved
2/15/2019,SO/UR/02-2019/11577,Plg 15248376,Perorangan,Pry rx87m0d9,K-250,Dadap,23945625,Approved
